,Season,Day,Hour,U1,U2,U3,Load,Dispatch Cost
20,summer,Sunday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,summer,Sunday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,summer,Sunday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,summer,Sunday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,summer,Monday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,summer,Monday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,summer,Monday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,summer,Monday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,summer,Monday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,summer,Monday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,summer,Monday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,summer,Monday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,summer,Monday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,summer,Monday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,summer,Monday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,summer,Monday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,summer,Monday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,summer,Monday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,summer,Monday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,summer,Monday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,summer,Monday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,summer,Monday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,summer,Monday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,summer,Monday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,summer,Monday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,summer,Monday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,summer,Monday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,summer,Monday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,summer,Tuesday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,summer,Tuesday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,summer,Tuesday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,summer,Tuesday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,summer,Tuesday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,summer,Tuesday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,summer,Tuesday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,summer,Tuesday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,summer,Tuesday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,summer,Tuesday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,summer,Tuesday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,summer,Tuesday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,summer,Tuesday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,summer,Tuesday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,summer,Tuesday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,summer,Tuesday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,summer,Tuesday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,summer,Tuesday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,summer,Tuesday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,summer,Tuesday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,summer,Tuesday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,summer,Tuesday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,summer,Tuesday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,summer,Tuesday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,summer,Wednesday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,summer,Wednesday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,summer,Wednesday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,summer,Wednesday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,summer,Wednesday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,summer,Wednesday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,summer,Wednesday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,summer,Wednesday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,summer,Wednesday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,summer,Wednesday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,summer,Wednesday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,summer,Wednesday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,summer,Wednesday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,summer,Wednesday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,summer,Wednesday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,summer,Wednesday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,summer,Wednesday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,summer,Wednesday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,summer,Wednesday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,summer,Wednesday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,summer,Wednesday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,summer,Wednesday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,summer,Wednesday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,summer,Wednesday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,summer,Thursday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,summer,Thursday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,summer,Thursday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,summer,Thursday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,summer,Thursday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,summer,Thursday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,summer,Thursday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,summer,Thursday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,summer,Thursday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,summer,Thursday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,summer,Thursday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,summer,Thursday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,summer,Thursday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,summer,Thursday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,summer,Thursday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,summer,Thursday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,summer,Thursday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,summer,Thursday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,summer,Thursday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,summer,Thursday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,summer,Thursday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,summer,Thursday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,summer,Thursday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,summer,Thursday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,summer,Friday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,summer,Friday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,summer,Friday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,summer,Friday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,summer,Friday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,summer,Friday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,summer,Friday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,summer,Friday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,summer,Friday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,summer,Friday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,summer,Friday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,summer,Friday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,summer,Friday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,summer,Friday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,summer,Friday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,summer,Friday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,summer,Friday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,summer,Friday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,summer,Friday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,summer,Friday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,summer,Friday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,summer,Friday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,summer,Friday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,summer,Friday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,summer,Saturday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,summer,Saturday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,summer,Saturday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,summer,Saturday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,summer,Saturday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,summer,Saturday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,summer,Saturday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,summer,Saturday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,summer,Saturday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,summer,Saturday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,summer,Saturday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,summer,Saturday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,summer,Saturday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,summer,Saturday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,summer,Saturday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,summer,Saturday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,summer,Saturday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,summer,Saturday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,summer,Saturday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,summer,Saturday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,summer,Saturday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,summer,Saturday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,summer,Saturday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,summer,Saturday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,fall,Sunday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,fall,Sunday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,fall,Sunday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,fall,Sunday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,fall,Sunday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,fall,Sunday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,fall,Sunday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
