,Day,Hour,Load,U1,U2,U3
40,Tuesday,05,1.4902119122573483,0.5766353347400729,1.4618686034995048,0.0
41,Wednesday,05,1.486514961295573,0.6563399194321887,1.4561736546715087,0.0
42,Friday,06,1.4758909588729976,0.5982159984653751,1.4707824364476723,0.0
43,Monday,06,1.466528714457854,0.5904469595242663,1.4715252558600196,0.0
44,Saturday,06,1.4744777899046742,0.5533282179167466,1.397243314625289,0.0
45,Sunday,06,1.4588193730324461,0.5956263188183388,1.3927863981512052,0.0
46,Thursday,06,1.4836507706187032,0.6304431229618263,1.4730108946847145,0.0
47,Tuesday,06,1.4811272546038396,0.6606560521772492,1.460878177616375,0.0
48,Wednesday,06,1.478919178090834,0.7081335123729139,1.4571640805546384,0.0
49,Friday,07,1.4759540467733694,0.586994053328218,1.4809343017497523,0.007692307692307693
50,Monday,07,1.4635635831403895,0.6071360061384999,1.4735061076262792,0.003076923076923077
51,Saturday,07,1.4681311471272924,0.5423940149625935,1.4242324199405745,0.00923076923076923
52,Sunday,07,1.45301528619826,0.6022443890274314,1.3965004952129416,0.007692307692307693
53,Thursday,07,1.4792346175926918,0.7265490120851718,1.4695444040937602,0.006153846153846154
54,Tuesday,07,1.4776069497631048,0.7487051601764818,1.4309177946517002,0.004615384615384615
55,Wednesday,07,1.4777835958841454,0.7527335507385383,1.4314130075932652,0.007692307692307693
56,Friday,08,1.4821618961699334,0.6220985996547094,1.464839881148894,0.15846153846153846
57,Monday,08,1.470692515882379,0.5884327642432381,1.4764773852756685,0.17230769230769233
58,Saturday,08,1.467992353746475,0.5228275465183196,1.4730108946847145,0.18615384615384614
59,Sunday,08,1.456951971181447,0.5924611548052945,1.361092769891053,0.17692307692307693
60,Thursday,08,1.484243796882196,0.7363322463073086,1.4636018487949818,0.12153846153846154
61,Tuesday,08,1.4835624475581828,0.7933051985421062,1.4205183228788378,0.13692307692307693
62,Wednesday,08,1.4836633881987775,0.7734509879148282,1.4205183228788378,0.14307692307692307
63,Friday,09,1.5059081818697992,0.5904469595242663,1.4606305711455927,0.4461538461538461
64,Monday,09,1.495372502507744,0.5492998273546902,1.4712776493892374,0.5076923076923077
65,Saturday,09,1.4796257625749958,0.607711490504508,1.4730108946847145,0.5384615384615384
66,Sunday,09,1.4655066904718344,0.5924611548052945,1.412099702872235,0.4707692307692308
67,Thursday,09,1.5067030894144813,0.6566276616151927,1.465335094090459,0.3584615384615385
68,Tuesday,09,1.5088102252868922,0.7435258008824094,1.4205183228788378,0.48000000000000004
69,Wednesday,09,1.508355992404217,0.8065413389602916,1.4197755034664905,0.44307692307692303
70,Friday,10,1.5604665981111483,0.5812392096681374,1.412099702872235,0.7430769230769231
71,Monday,10,1.5520632897816529,0.565988873968924,1.442802905249257,0.8292307692307693
72,Saturday,10,1.501416323363342,0.6157682716286208,1.4618686034995048,0.8584615384615385
73,Sunday,10,1.483373183857068,0.6307308651448302,1.4224991746450972,0.7707692307692308
74,Thursday,10,1.5669015639490502,0.6163437559946288,1.4645922746781115,0.5507692307692308
75,Tuesday,10,1.5664851838065976,0.7141760982159985,1.4210135358204026,0.8815384615384615
76,Wednesday,10,1.5694881678642854,0.8364665259927105,1.4180422581710135,0.8015384615384615
77,Friday,11,1.6181667917910023,0.5812392096681374,1.40244305051172,1.02
78,Monday,11,1.6107476547073036,0.5803759831191253,1.4522119511389897,0.9015384615384614
79,Saturday,11,1.5319130144029676,0.6419528102819874,1.4440409376031693,1.036923076923077
80,Sunday,11,1.5072834980978997,0.6255515058507577,1.3977385275668537,0.9276923076923077
81,Thursday,11,1.6291819391958815,0.607999232687512,1.456421261142291,0.823076923076923
82,Tuesday,11,1.6242106126466007,0.759351620947631,1.4210135358204026,1.0738461538461537
83,Wednesday,11,1.630986253146509,0.8171877997314406,1.4175470452294487,1.0138461538461538
84,Friday,12,1.645887615214278,0.5959140610013428,1.4031858699240674,1.0769230769230769
85,Monday,12,1.6309357828262117,0.6290044120468061,1.4475074281941234,0.9461538461538462
86,Saturday,12,1.5614381517768707,0.657490888164205,1.4487454605480357,1.0461538461538462
87,Sunday,12,1.5324681879262376,0.649434107040092,1.3974909210960713,0.9415384615384615
88,Thursday,12,1.6500261814786543,0.6514483023211203,1.4311654011224826,0.8523076923076923
89,Tuesday,12,1.6443230352850629,0.789852292346058,1.4210135358204026,1.0476923076923077
90,Wednesday,12,1.6501018869591002,0.7461154805294457,1.4116044899306703,1.1415384615384616
91,Friday,13,1.6634639042578026,0.6140418185305966,1.413832948167712,1.0276923076923077
92,Monday,13,1.6469348743604466,0.6551889507001726,1.4106140640475404,0.9523076923076922
93,Saturday,13,1.5891842103602951,0.6528870132361404,1.4779630241003632,1.0415384615384615
94,Sunday,13,1.5626368218839308,0.6805102628045272,1.3851105975569493,1.0230769230769232
95,Thursday,13,1.6611675046842767,0.6511605601381163,1.4244800264113568,0.9646153846153845
96,Tuesday,13,1.6568270571387116,0.7964703625551507,1.4187850775833608,1.0646153846153845
97,Wednesday,13,1.6598931290967704,0.7544600038365624,1.4108616705183228,1.116923076923077
98,Friday,14,1.672712590452277,0.608286974870516,1.4623638164410695,0.943076923076923
99,Monday,14,1.6606375663211552,0.6471321695760598,1.46137339055794,0.816923076923077
100,Saturday,14,1.608060110151474,0.6770573566084788,1.4792010564542755,0.9615384615384616
101,Sunday,14,1.589259915840741,0.7006522156148092,1.4678111587982832,0.9492307692307692
102,Thursday,14,1.6715265379252915,0.6810857471705353,1.413832948167712,0.9876923076923076
103,Tuesday,14,1.6667697102372736,0.7956071360061384,1.359854737537141,0.9907692307692308
104,Wednesday,14,1.6704161908787514,0.7179167465950508,1.4343842852426543,0.9446153846153845
105,Friday,15,1.6772170665388086,0.669863802033378,1.4730108946847145,0.8461538461538461
106,Monday,15,1.669999810736299,0.699213504699789,1.4725156817431495,0.6846153846153846
107,Saturday,15,1.6169428865237936,0.718492230961059,1.4717728623308022,0.7969230769230768
108,Sunday,15,1.6050949788340094,0.7262612699021675,1.4725156817431495,0.803076923076923
109,Thursday,15,1.6725990322316082,0.7075580280069058,1.4076427863981513,0.916923076923077
110,Tuesday,15,1.665078954507315,0.8079800498753117,1.3596071310663584,0.8461538461538461
111,Wednesday,15,1.677078273157991,0.7512948398235181,1.4631066358534168,0.8353846153846154
112,Friday,16,1.6759300733712281,0.709859965470938,1.472763288213932,0.6292307692307693
113,Monday,16,1.6708199534411297,0.7861116439670055,1.472763288213932,0.5061538461538462
114,Saturday,16,1.6181667917910023,0.7409361212353731,1.4796962693958402,0.5769230769230769
115,Sunday,16,1.6161858317193345,0.8586226740840208,1.4814295146913172,0.5353846153846153
116,Thursday,16,1.6686623472484212,0.7553232303855745,1.406899966985804,0.5692307692307692
117,Tuesday,16,1.6604987729403378,0.8560329944369844,1.4522119511389897,0.5984615384615385
118,Wednesday,16,1.6800434044754555,0.8145981200844044,1.467563552327501,0.5892307692307692
119,Friday,17,1.6732425288153985,0.7858239017840015,1.4735061076262792,0.3538461538461538
120,Monday,17,1.6749080493852087,0.902359485900633,1.4623638164410695,0.28153846153846157
121,Saturday,17,1.6170690623245367,0.8540187991559562,1.4799438758666226,0.33999999999999997
122,Sunday,17,1.6190374048161305,1.003932476501055,1.4819247276328822,0.29692307692307696
123,Thursday,17,1.6728135310928718,0.7875503548820256,1.4551832287883788,0.2830769230769231
124,Tuesday,17,1.6703404853983055,0.9993286015729906,1.4717728623308022,0.33384615384615385
125,Wednesday,17,1.6857970209893445,0.9199117590638788,1.4737537140970618,0.31846153846153846
126,Friday,18,1.6655205698099163,0.7535967772875504,1.4730108946847145,0.1
127,Monday,18,1.6722835927297504,0.902934970266641,1.4380983823043907,0.06923076923076923
128,Saturday,18,1.6150376319325717,0.8540187991559562,1.4821723341036646,0.1076923076923077
129,Sunday,18,1.620854336346832,1.0108382888931517,1.4826675470452293,0.07538461538461538
130,Thursday,18,1.6716274785658858,0.7861116439670055,1.4782106305711455,0.0676923076923077
131,Tuesday,18,1.6698231646152584,1.0419144446575868,1.4767249917464509,0.09076923076923077
132,Wednesday,18,1.6850904365051826,0.9498369460962977,1.4710300429184548,0.06615384615384615
133,Friday,19,1.6671230024793546,0.7469787070784577,1.4737537140970618,0.007692307692307693
134,Monday,19,1.6763464535136805,0.8945904469595243,1.4021954440409377,0.004615384615384615
