,Season,Day,Hour,U1,U2,U3,Load,Dispatch Cost
18,spring,Sunday,18,0.8156986669526672,0.43340630500476107,0.33384615384615385,1.5829511258035822,390.6139718670022
19,spring,Sunday,19,1.0156986669526678,0.4698733825839516,0.09384615384615384,1.5794182033827733,390.6139718670022
20,spring,Sunday,20,1.2156986669526684,0.3606957333652947,0.007692307692307693,1.5840867080102707,390.6139718670022
21,spring,Sunday,21,1.37967055498426,0.19999999999999973,0.0,1.5796705549842598,390.6139718670022
22,spring,Sunday,22,1.3524418171838826,0.19999999999999973,0.0,1.5524418171838823,390.6139718670022
23,spring,Sunday,23,1.3108542732589321,0.19999999999999973,0.0,1.5108542732589318,390.6139718670022
0,spring,Monday,0,0.9000000000000001,0.58250257083194,0.0,1.4825025708319401,395.23049038224934
1,spring,Monday,1,1.1000000000000008,0.36767691424461635,0.0,1.467676914244617,395.23049038224934
2,spring,Monday,2,1.261582623068722,0.19999999999999973,0.0,1.4615826230687217,395.23049038224934
3,spring,Monday,3,1.261191478086418,0.19999999999999973,0.0,1.4611914780864177,395.23049038224934
4,spring,Monday,4,1.2675759736040229,0.19999999999999973,0.0,1.4675759736040226,395.23049038224934
5,spring,Monday,5,1.291902667987307,0.19999999999999973,0.0,1.4919026679873066,395.23049038224934
6,spring,Monday,6,1.3306826741699211,0.19999999999999973,0.01076923076923077,1.5414519049391517,395.23049038224934
7,spring,Monday,7,1.1972868417566214,0.31538335362660597,0.08615384615384616,1.5988240415370736,395.23049038224934
8,spring,Monday,8,0.9972868417566214,0.28799626519629595,0.33999999999999997,1.6252831069529174,395.23049038224934
9,spring,Monday,9,0.7972868417566208,0.22132042975477595,0.62,1.6386072715113968,395.23049038224934
10,spring,Monday,10,0.5972868417566201,0.19999999999999973,0.8476923076923076,1.6449791494489274,395.23049038224934
11,spring,Monday,11,0.4154329407163002,0.19999999999999973,1.0292307692307692,1.6446637099470691,395.23049038224934
12,spring,Monday,12,0.3187225961932765,0.19999999999999973,1.123076923076923,1.6417995192701993,395.23049038224934
13,spring,Monday,13,0.23031020320612727,0.19999999999999973,1.2092307692307693,1.6395409724368963,395.23049038224934
14,spring,Monday,14,0.2066763401447238,0.19999999999999973,1.2292307692307693,1.6359071093754929,395.23049038224934
15,spring,Monday,15,0.28588231583064716,0.19999999999999973,1.1507692307692308,1.6366515465998777,395.23049038224934
16,spring,Monday,16,0.45882265360326774,0.1999999999999978,0.9815384615384615,1.640361115141727,395.23049038224934
17,spring,Monday,17,0.6588226536032677,0.4046171510765926,0.58,1.6434398046798604,395.23049038224934
18,spring,Monday,18,0.8588226536032677,0.4517824224491962,0.3153846153846154,1.6259896914370793,395.23049038224934
19,spring,Monday,19,1.0588226536032677,0.4481963800162745,0.11076923076923076,1.6177882643887729,395.23049038224934
20,spring,Monday,20,1.2588226536032683,0.34680932943870424,0.012307692307692308,1.6179396753496649,395.23049038224934
21,spring,Monday,21,1.4088297825360077,0.19999999999999973,0.0,1.6088297825360074,395.23049038224934
22,spring,Monday,22,1.3749389624563908,0.19999999999999973,0.0,1.5749389624563905,395.23049038224934
23,spring,Monday,23,1.3334902119122576,0.19999999999999973,0.0,1.5334902119122573,395.23049038224934
